id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code
32;Vire;vire;8744815;87448159;48.846329;-0.882884;30;FR;Europe/Paris;f;t;f;f;f;f;FRDUX;VIR;t;;f;8700424;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;FRDUX;f;;f;f;;;;;;;;;;;;ヴィール;;;;Вир;;;维尔;urn:trainline:public:nloc:csv32
33;Marans;marans;;;46.3000000000;-1.0000000000;;FR;Europe/Paris;t;f;f;f;f;f;FRAAV;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv33
34;Marans Centre;marans-centre;8738988;87389882;46.290815;-0.979212;33;FR;Europe/Paris;f;f;f;t;f;f;FRDHK;;t;;f;8706478;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv34
35;Marans;marans;8748506;87485060;46.30433;-1.00127;33;FR;Europe/Paris;f;t;f;t;f;f;FREII;;t;;f;8702440;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;8700668;f;;f;FREII;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv35
36;Uzerche;uzerche;8759420;87594200;45.4407088;1.5702735;5607;FR;Europe/Paris;f;t;f;t;f;f;FRAAW;URE;t;;f;8702147;f;;f;;f;;f;;f;;f;8702147;f;;f;;f;;;;f;;f;8700512;f;;f;FRAAW;f;;f;f;;;;;;;;;;;;ユゼルシュ;;;;Юзерш;;;于泽尔克;urn:trainline:public:nloc:csv36
38;Dijon Ville;dijon-ville;8771304;87713040;47.323370;5.027208;1782;FR;Europe/Paris;f;t;f;t;f;f;FRABA;DJV;t;;f;8700021;f;;f;;f;;f;8771304;f;;f;8700021;f;;f;8771304;t;;;;f;;f;8700025;f;;f;FRABA;f;;f;t;;;;;;Digione;;;;;;ディジョン;디종;;;Дижон;;;第戎;urn:trainline:public:nloc:csv38
40;Pontrieux;pontrieux;;;48.7000000000;-3.1666670000;;FR;Europe/Paris;t;f;f;f;f;f;FRABD;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv40
41;Pontrieux Halte;pontrieux-halte;8747383;87473835;48.6980361;-3.1644959;40;FR;Europe/Paris;f;f;f;t;f;f;FREAB;PXH;t;;f;8704288;f;;f;;f;;f;;f;;f;8704288;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv41
42;Pontrieux;pontrieux;8747384;87473843;48.7056437;-3.1574281;40;FR;Europe/Paris;f;t;f;t;f;f;FREAC;PUX;t;;f;8704287;f;;f;;f;;f;;f;;f;8704287;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv42
43;Auboué;auboue;8719168;87191684;49.216163;5.9714608;;FR;Europe/Paris;f;f;f;t;f;f;FRABE;ABE;t;;f;8700567;f;;f;;f;;f;;f;;f;8700567;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv43
44;Périgueux;perigueux;8759500;87595009;45.187408;0.707879;4957;FR;Europe/Paris;t;f;f;t;f;f;FRABF;PXR;t;;f;8700405;f;;f;FRPRI;t;;f;;f;;f;8700405;f;;f;;f;;;;f;;f;8700057;f;;f;FRABF;f;;f;t;;;;;;;;;;;;ペリグー;페리괴;;;Перигё;;;佩里格;urn:trainline:public:nloc:csv44
45;Besançon Viotte;besancon-viotte;8771800;87718007;47.247019;6.022003;5029;FR;Europe/Paris;f;t;f;t;f;f;FRABG;BNV;t;;f;8700044;f;;f;;f;;f;;f;;f;8700044;f;;f;8771800;f;;;;f;;f;8700053;f;;f;FRABG;f;;f;t;;;;Besanzón;;;;;;;;ブザンソン;브장송;;;Безансон;;;贝桑松;urn:trainline:public:nloc:csv45
47;Douarnenez Office de Tourisme;douarnenez-office-de-tourisme;8747990;87479907;48.09336269013469;-4.3303728103637695;;FR;Europe/Paris;f;f;f;t;f;f;FREEV;;t;;f;;f;;f;;f;;f;;f;;f;8747990;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;ドゥアルヌネ;;;;Дуарнене;;;杜阿尔纳纳;urn:trainline:public:nloc:csv47
50;Concarneau;concarneau;;;47.8666670000;-3.9166670000;;FR;Europe/Paris;t;f;f;f;f;f;FRABJ;;t;;f;;f;gbt0qf;t;;f;7878;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;コンカルノー;;;;Конкарно;;;孔卡尔诺;urn:trainline:public:nloc:csv50
51;Concarneau Port;concarneau-port;8747989;87479899;47.867055;-3.927593;50;FR;Europe/Paris;f;f;f;t;f;f;FREEU;;t;;f;8703141;f;;f;;f;;f;;f;;f;8703141;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv51
52;Concarneau;concarneau;8747438;87474387;47.87767079094932;-3.9205312728881836;50;FR;Europe/Paris;t;f;f;t;f;f;FREBC;;t;;f;8703140;f;;f;FRCON;t;;f;;f;;f;8703140;f;;f;;f;;;;f;;f;;f;;f;FREBC;f;;f;f;;;;;;;;;;;;コンカルノー;;;;Конкарно;;;孔卡尔诺;urn:trainline:public:nloc:csv52
55;Aboncourt;aboncourt;8719140;87191403;49.2666670000;6.3500000000;;FR;Europe/Paris;f;f;f;t;f;f;FRABM;;t;;f;8700566;f;;f;;f;;f;;f;;f;8700566;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv55
56;Aiton—Bourgneuf;aiton-bourgneuf;8774124;87741249;45.5666670000;6.2500000000;;FR;Europe/Paris;f;f;f;t;f;f;FRABN;;t;;f;8702387;f;u0h7nq;t;;f;;f;;f;;f;8702387;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv56
57;Colomiers;colomiers;;;43.6166670000;1.3500000000;;FR;Europe/Paris;t;f;f;f;f;f;FRABP;;t;;f;;f;;f;FRCOL;t;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;コロミエ;콜로미에;;;Коломье;;;科洛米耶尔;urn:trainline:public:nloc:csv57
58;Colomiers;colomiers;8761146;87611467;43.603734;1.334221;57;FR;Europe/Paris;f;t;f;t;f;f;FRFQB;COL;t;;f;8703134;f;;f;;f;;f;;f;;f;8703134;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;コロミエ;콜로미에;;;Коломье;;;科洛米耶尔;urn:trainline:public:nloc:csv58
59;Colomiers Lycée International;colomiers-lycee-international;8761192;87611921;43.6163055;1.3141157;57;FR;Europe/Paris;f;f;f;t;f;f;FRFRP;LYF;t;;f;8703135;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;コロミエ;콜로미에;;;Коломье;;;科洛米耶尔;urn:trainline:public:nloc:csv59
60;Labège;labege;;;43.5333330000;1.5333330000;;FR;Europe/Paris;t;f;f;t;f;f;FRABQ;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Лабеж;;;拉贝格;urn:trainline:public:nloc:csv60
61;Labège Innopole;labege-innopole;8761200;87612002;43.5473613;1.5129784;60;FR;Europe/Paris;f;t;f;t;f;f;FRFRV;;t;;f;8702524;f;;f;;f;;f;;f;;f;8702524;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Лабеж;;;拉贝格;urn:trainline:public:nloc:csv61
62;Labège Village;labege-village;8761202;87612028;43.5305367;1.5329207;60;FR;Europe/Paris;f;f;f;t;f;f;FRFRX;LEJ;t;;f;8702526;f;;f;;f;;f;;f;;f;8702526;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Лабеж;;;拉贝格;urn:trainline:public:nloc:csv62
63;Azay-le-Rideau Mairie;azay-le-rideau-mairie;8711029;87110296;47.2666670000;0.4666670000;5083;FR;Europe/Paris;f;f;f;t;f;f;FRABR;;t;;f;8702748;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;Castillo de Azay-le-Rideau;;;;;;;;アゼ＝ル＝リドー城;아제르리도;;;Азе-лё-Ридо;;;阿泽莱里多;urn:trainline:public:nloc:csv63
64;Albas;albas;8761375;87613752;44.4666670000;1.2333330000;9007;FR;Europe/Paris;f;t;f;t;f;f;FRABS;;t;;f;8702636;f;;f;;f;;f;;f;;f;8702636;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv64
65;Abancourt;abancourt;8731375;87313759;49.6852237;1.7743058;;FR;Europe/Paris;f;f;f;t;f;f;FRABT;ABT;t;;f;8700251;f;;f;;f;;f;;f;;f;8700251;f;;f;;f;;;;f;;f;8700885;f;;f;FRABT;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv65
66;Lunel;lunel;;;43.6833330000;4.1333330000;;FR;Europe/Paris;t;f;f;f;f;f;FRABV;;t;;f;;f;spfbw1;t;;f;10757;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;t;;;;;;;;;;;;リュネル;뤼넬;;;Люнель;;;;urn:trainline:public:nloc:csv66
67;Lunel-Viel;lunel-viel;8777342;87773424;43.6811729;4.0937398;66;FR;Europe/Paris;f;f;f;t;f;f;FRIJC;LWQ;t;;f;8701461;f;;f;;f;;f;;f;;f;8701461;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;吕内维耶;urn:trainline:public:nloc:csv67
68;Lunel;lunel;8777340;87773408;43.679392;4.131086;66;FR;Europe/Paris;f;t;f;t;f;f;FRIJB;LUN;t;;f;8702315;f;;f;;f;;f;;f;;f;8702315;f;;f;;f;;;;f;;f;8700276;f;;f;FRIJB;f;;f;t;;;;;;;;;;;;リュネル;뤼넬;;;Люнель;;;;urn:trainline:public:nloc:csv68
72;Moirans;moirans;8774732;87747329;45.322185;5.581915;4774;FR;Europe/Paris;f;t;f;t;f;f;FRABZ;MOA;t;;f;8700009;f;;f;;f;;f;;f;;f;8700009;f;;f;;f;;;;f;;f;8700010;f;;f;FRABZ;f;;f;f;;;;;;;;;;;;;;;;Муаран;;;穆瓦朗;urn:trainline:public:nloc:csv72
73;Arc-et-Senans;arc-et-senans;8771884;87718841;47.0303516;5.7767843;;FR;Europe/Paris;f;f;f;t;f;f;FRACA;ACA;t;;f;8702456;f;;f;;f;;f;;f;;f;8702456;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;阿尔克和瑟南;urn:trainline:public:nloc:csv73
74;Accolay;accolay;8768365;87683656;47.6666670000;3.7166670000;;FR;Europe/Paris;f;f;f;t;f;f;FRACC;;t;;f;8702616;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv74
76;Dole Ville;dole-ville;8771341;87713412;47.096084;5.488105;1845;FR;Europe/Paris;f;t;f;t;f;f;FRACE;DLE;t;;f;8700116;f;;f;;f;;f;;f;;f;8700116;f;;f;;f;;;;f;;f;8700210;f;;f;FRACE;f;;f;t;;;;;;;;;;;;;;;;Доля;;;;urn:trainline:public:nloc:csv76
77;Dax;dax;8767320;87673202;43.720472;-1.050301;5776;FR;Europe/Paris;t;f;f;t;f;f;FRACG;DAX;t;;f;8700043;f;;f;FRDAX;t;23911;t;;f;;f;8700043;f;;f;;f;;;;f;;f;8700052;f;;f;FRACG;f;;f;t;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv77
80;Rezé;reze;;;47.2000000000;-1.5666670000;;FR;Europe/Paris;t;f;f;f;f;f;FRACJ;;t;;f;;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;ルゼ;르제;;;Реза;;;雷泽;urn:trainline:public:nloc:csv80
82;Rezé—Pont-Rousseau;reze-pont-rousseau;8748103;87481036;47.1932425;-1.5495445;80;FR;Europe/Paris;f;t;f;t;f;f;FREFC;RPT;t;;f;8704363;f;;f;;f;;f;;f;;f;8704363;f;;f;;f;;;;f;;f;8700230;f;;f;FREFC;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv82
83;Cherbourg;cherbourg;8744487;87444877;49.633505;-1.621515;;FR;Europe/Paris;f;f;f;t;f;f;FRACK;CBU;t;;f;8700227;f;gbyf75;t;FRCER;t;;f;;f;;f;8700227;f;;f;;f;;;;f;;f;8700777;f;;f;FRACK;f;;f;t;;;;Cherburgo-Octeville;;;;;;;;シェルブール＝オクトヴィル;셰르부르옥트빌;;;Шербур-Октевиль;;;瑟堡-奥克特维尔;urn:trainline:public:nloc:csv83
84;Angers St-Laud;angers-st-laud;8748400;87484006;47.464647;-0.556820;344;FR;Europe/Paris;f;t;f;t;f;f;FRACL;ASL;t;;f;8700022;f;;f;;f;;f;;f;;f;8700022;f;ACL;t;;f;;;;f;;f;8700026;f;;f;FRACL;f;;f;t;;;;;;;;;;;;アンジェ;앙제;;;Анже;;;昂热;urn:trainline:public:nloc:csv84
85;Saumur;saumur;8748760;87487603;47.26900;-0.07136;5831;FR;Europe/Paris;f;t;f;t;f;f;FRACN;SUD;t;;f;8704969;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;8700090;f;;f;FRACN;f;;f;t;;;;;;;;;;;;ソミュール;소뮈르;;;Сомюр;;;索米尔;urn:trainline:public:nloc:csv85
87;Cérences Centre;cerences-centre;8738819;87388199;48.91686;-1.437824;9462;FR;Europe/Paris;f;f;f;t;f;f;FRDGZ;;t;;f;8703000;f;;f;;f;;f;;f;;f;8703000;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;塞朗塞;urn:trainline:public:nloc:csv87
89;Reims;reims;8724856;;49.2500000000;4.0333330000;;FR;Europe/Paris;t;f;f;t;f;f;FRACQ;;t;;f;8796006;f;u0fb5v;t;FRRHE;t;2608;t;;f;;f;8700081;f;;f;;f;;;;f;;f;8700096;f;;f;;f;;f;f;;;;;;;;;Remeš;;;ランス;兰斯;;;Реймс;;;兰斯;urn:trainline:public:nloc:csv89
90;Reims Maison Blanche;reims-maison-blanche;8717127;87171272;49.2336853;4.0224927;89;FR;Europe/Paris;f;f;f;t;f;f;FRBBX;RSN;t;;f;8701874;f;;f;;f;;f;;f;;f;8701874;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;Remeš;;;ランス;兰斯;;;Реймс;;;兰斯;urn:trainline:public:nloc:csv90
91;Champagne-Ardenne TGV;champagne-ardenne-tgv;8717192;87171926;49.214806;3.994632;89;FR;Europe/Paris;f;f;f;t;f;f;FREAH;CGV;t;;f;8705734;f;;f;;f;;f;;f;;f;;f;EAH;t;;f;;;;f;;f;8700781;f;;f;FREAH;f;;f;t;;8 km von Reims entfernt;8km from Reims;a 8 km de Reims;à 8 km de Reims;8km da Reims;;8 km van Reims;8km od Remeš;8km fra Reims;;ランス;兰斯;8km od Reims;A 8 km de Reims;Реймс;8 km från Reims;;距离兰斯8公里;urn:trainline:public:nloc:csv91
92;Reims Ville;reims-ville;8717100;87171009;49.258978;4.024435;89;FR;Europe/Paris;f;t;f;t;f;f;FRRHE;RMS;t;;f;8700081;f;;f;;f;;f;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;FRRHE;f;;f;t;;;;;;;;;Remeš;;;ランス;兰斯;;;Реймс;;;兰斯;urn:trainline:public:nloc:csv92
93;Laval;laval;8747840;87478404;48.076206;-0.760907;4714;FR;Europe/Paris;t;f;f;t;f;f;FRACR;LAL;t;;f;8701470;f;;f;FRLVA;t;;f;;f;;f;8701470;f;ACR;t;;f;;;;f;;f;8700716;f;;f;FRACR;f;;f;t;;;;;;;;;;;;;;;;Лаваль;;;;urn:trainline:public:nloc:csv93
94;Accous;accous;8767278;87672782;42.9833330000;-0.6000000000;;FR;Europe/Paris;f;f;f;t;f;f;FRACS;;t;;f;8702617;f;;f;;f;;f;;f;;f;8702617;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;Аккус;;;阿库斯;urn:trainline:public:nloc:csv94
95;Achiet;achiet;8734204;87342048;50.1317525;2.780168;;FR;Europe/Paris;f;f;f;t;f;f;FRACT;ACT;t;;f;8700583;f;;f;;f;;f;;f;;f;8700583;f;;f;;f;;;;f;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;;;urn:trainline:public:nloc:csv95
