Verkaufsstellennr.;Name 1;Name 2;Name 3;Strasse;PLZ;Ort;Adresszusatz;Typ;Öffnungszeiten Montag 1;Öffnungszeiten Montag 2;Öffnungszeiten Montag 3;Öffnungszeiten Dienstag 1;Öffnungszeiten Dienstag 2;Öffnungszeiten Dienstag 3;Öffnungszeiten Mittwoch 1;Öffnungszeiten Mittwoch 2;Öffnungszeiten Mittwoch 3;Öffnungszeiten Donnerstag 1;Öffnungszeiten Donnerstag 2;Öffnungszeiten Donnerstag 3;Öffnungszeiten Freitag 1;Öffnungszeiten Freitag 2;Öffnungszeiten Freitag 3;Öffnungszeiten Samstag 1;Öffnungszeiten Samstag 2;Öffnungszeiten Samstag 3;Öffnungszeiten Sonntag 1;Öffnungszeiten Sonntag 2;Öffnungszeiten Sonntag 3;Koord_Lat;Koord_Lon
500397;Reisezentrum Schleswig;;;Bahnhofstr. 29;24837;Schleswig;;Reisezentrum;07:30-12:45;13:30-17:45;;07:30-12:45;13:30-17:45;;07:30-12:45;13:30-17:45;;07:30-12:45;13:30-17:45;;07:30-12:45;13:30-17:45;;08:15-12:30;13:00-15:00;;08:15-12:30;13:00-15:00;;54500429;9538148
500652;Reisezentrum Stade;;;Am Bahnhof 14;21680;Stade;;Reisezentrum;08:15-18:00;;;08:15-17:15;;;08:15-17:15;;;08:15-17:15;;;08:15-17:15;;;08:45-13:00;;;;;;53596312;9480068
500850;Reisezentrum Stadthagen;;;Am Bahnhof 9;31655;Stadthagen;;Reisezentrum;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;14:00-18:30;;08:30-13:00;;;;;;52330208;9181851
500561;Reisezentrum Verden (Aller);;;Bahnhofstr. 14;27283;Verden (Aller);;Reisezentrum;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-12:30;13:30-18:00;;08:00-13:00;;;;;;52920636;9237676
647917;Reisezentrum Vienenburg;Video-Reisezentrum;;Bahnhofstraße 8;38690;Vienenburg;;Reisezentrum;09:30-17:30;;;09:30-17:30;;;09:30-17:30;;;09:30-17:30;;;09:30-17:30;;;;;;;;;51954927;10562792
500371;Reisezentrum Westerland (Sylt);;;Bahnhofplatz;25980;Westerland (Sylt);;Reisezentrum;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-18:00;;;09:00-16:00;;;;;;54907600;8310130
511048;Reisezentrum Wrist;;;Hauptstraße 1;25563;Wrist;;Reisezentrum;08:15-12:00;12:30-15:45;;08:15-12:00;12:30-15:45;;08:15-12:00;12:30-15:45;;08:15-12:00;12:30-15:45;;08:15-12:00;12:30-15:45;;08:15-13:15;;;;;;53932381;9748150
500728;Reisezentrum Wolfsburg;;;Willy-Brandt-Platz 3;38440;Wolfsburg;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;08:30-15:30;;;10:00-15:00;;;52428901;10787199
500876;Reisezentrum Wunstorf;;;Hindenburgstr. 58;31515;Wunstorf;;Reisezentrum;07:45-12:00;13:00-18:00;;07:45-12:00;13:00-18:00;;07:45-12:00;13:00-18:00;;07:45-12:00;13:00-18:00;;07:45-12:00;13:00-18:00;;07:45-13:30;;;;;;52422833;9448426
647057;Reisezentrum Bordesholm;Video-Reisezentrum;;Mühlenstraße 2;24582;Bordesholm;;Reisezentrum;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-18:30;;;08:30-13:30;;;;;;54174317;10043106
647412;Reisezentrum Bad Fallingbostel;Video-Reisezentrum;;Am Bahnhof 2;29683;Bad Fallingbostel;;Reisezentrum;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;08:30-16:30;;;;;;;;;52863287;9701158
647891;Reisezentrum Schladen;Video-Reisezentrum;;Am Bahnhof;38315;Schladen;;Reisezentrum;09:30-17:30;;;09:30-17:30;;;09:30-17:30;;;09:30-17:30;;;09:30-17:30;;;;;;;;;52021851;10549578
670489;Reisezentrum Stelle;Video-Reisezentrum;;Uhlenhorst 18;21435;Stelle;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;08:30-13:30;;;;;;53387529;10108940
670612;Reisezentrum Himmelpforten;Video-Reisezentrum;;Am Bahnhof 2;21709;Himmelpforten;;Reisezentrum;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;07:30-18:30;;;08:30-13:30;;;;;;53623235;9310352
501452;Reisezentrum Bautzen;;;Rathenauplatz 1;2625;Bautzen;;Reisezentrum;08:00-11:30;12:00-17:00;;08:00-11:30;12:00-17:00;;08:00-11:30;12:00-17:00;;08:00-11:30;12:00-17:00;;08:00-11:30;12:00-17:00;;;;;;;;51173638;14429277
